epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1094.22,0.76932,0.9304,1.17958,0.67603,0.35913,0.44124,0.31857,1.10479,1.37182,1.39199,0.0005941,0.0005941,0.0005941
43,1120.64,0.75495,0.91377,1.15538,0.58878,0.39013,0.40399,0.29618,1.07271,1.44178,1.34569,0.0005842,0.0005842,0.0005842
44,1146.7,0.75083,0.90298,1.15322,0.57428,0.41471,0.40228,0.28612,1.07806,1.40547,1.38408,0.0005743,0.0005743,0.0005743
45,1172.8,0.72906,0.84546,1.13243,0.41027,0.50135,0.42451,0.30532,1.07761,1.46504,1.358,0.0005644,0.0005644,0.0005644
46,1198.85,0.73832,0.85679,1.14614,0.55717,0.52051,0.50062,0.33388,1.10673,1.33978,1.4143,0.0005545,0.0005545,0.0005545
47,1225.21,0.72704,0.83335,1.12595,0.64685,0.40055,0.44649,0.32927,1.06428,1.35191,1.34432,0.0005446,0.0005446,0.0005446
48,1251.26,0.71462,0.83252,1.13666,0.48273,0.53031,0.49841,0.35621,1.07946,1.32981,1.41285,0.0005347,0.0005347,0.0005347
49,1277.58,0.71377,0.84185,1.14016,0.43849,0.58751,0.52074,0.36296,1.05985,1.2781,1.38441,0.0005248,0.0005248,0.0005248
50,1303.77,0.68746,0.81125,1.1045,0.57285,0.43609,0.45744,0.32774,1.06665,1.43994,1.34302,0.0005149,0.0005149,0.0005149
51,1329.74,0.71103,0.79802,1.12172,0.46581,0.51502,0.45354,0.32362,1.06156,1.38785,1.35521,0.000505,0.000505,0.000505
52,1355.75,0.68846,0.80771,1.12148,0.59636,0.42576,0.43514,0.31573,1.05653,1.39528,1.34149,0.0004951,0.0004951,0.0004951
53,1381.79,0.70356,0.79702,1.13675,0.58051,0.40295,0.4832,0.36103,1.02702,1.42366,1.31868,0.0004852,0.0004852,0.0004852
54,1407.6,0.68792,0.78942,1.11874,0.78052,0.39102,0.42236,0.31108,1.0364,1.46704,1.32997,0.0004753,0.0004753,0.0004753
55,1433.58,0.66643,0.77001,1.10109,0.35142,0.54926,0.4231,0.30802,1.04644,1.4766,1.34325,0.0004654,0.0004654,0.0004654
56,1459.57,0.65293,0.73894,1.08685,0.58003,0.43094,0.41543,0.30071,1.02855,1.41538,1.33333,0.0004555,0.0004555,0.0004555
57,1485.59,0.65901,0.74543,1.09503,0.41905,0.40787,0.42666,0.3083,1.04279,1.44706,1.35701,0.0004456,0.0004456,0.0004456
58,1512,0.63188,0.71463,1.08752,0.54787,0.494,0.50295,0.36867,1.02796,1.40746,1.32024,0.0004357,0.0004357,0.0004357
